#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         1.4956          
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      I               
#ylabel:                       I               
#yscale:                       5e+16           
#yscale_str:                   $I_{0}$         
#yunit_str:                    W/m$^{2}$       
-2.3999999999999999e-13   8.1906469071867198e+07    
-2.3988278388278389e-13   8.1251693307722107e+07    
-2.3976556776556774e-13   7.9940703559243664e+07    
-2.3964835164835165e-13   7.8542121201503590e+07    
-2.3953113553113550e-13   7.7708846971602812e+07    
-2.3941391941391940e-13   7.7875148799002111e+07    
-2.3929670329670330e-13   7.9026079508205101e+07    
-2.3917948717948716e-13   8.0663487780747518e+07    
-2.3906227106227106e-13   8.2009871694798365e+07    
-2.3894505494505491e-13   8.2372517110598266e+07    
-2.3882783882783881e-13   8.1498064113488570e+07    
-2.3871062271062272e-13   7.9735875513022125e+07    
-2.3859340659340657e-13   7.7909773648423314e+07    
-2.3847619047619047e-13   7.6936527251829773e+07    
-2.3835897435897432e-13   7.7362224872729376e+07    
-2.3824175824175823e-13   7.9049331006013691e+07    
-2.3812454212454213e-13   8.1196117718199939e+07    
-2.3800732600732598e-13   8.2712313882655010e+07    
-2.3789010989010989e-13   8.2779015876810744e+07    
-2.3777289377289374e-13   8.1298307865956694e+07    
-2.3765567765567764e-13   7.8976502748827085e+07    
-2.3753846153846154e-13   7.6978539697309062e+07    
-2.3742124542124540e-13   7.6329934563884288e+07    
-2.3730402930402930e-13   7.7383353437507793e+07    
-2.3718681318681315e-13   7.9629727895167261e+07    
-2.3706959706959705e-13   8.1948949219373927e+07    
-2.3695238095238096e-13   8.3170073260590032e+07    
-2.3683516483516481e-13   8.2659693487031147e+07    
-2.3671794871794871e-13   8.0645862106966868e+07    
-2.3660073260073256e-13   7.8113906133305296e+07    
-2.3648351648351647e-13   7.6320433048961788e+07    
-2.3636630036630037e-13   7.6164740718026996e+07    
-2.3624908424908422e-13   7.7734504823316246e+07    
-2.3613186813186813e-13   8.0257956017846420e+07    
-2.3601465201465198e-13   8.2486939602990240e+07    
-2.3589743589743588e-13   8.3315065133857608e+07    
-2.3578021978021978e-13   8.2320879552700847e+07    
-2.3566300366300364e-13   7.9972496895126641e+07    
-2.3554578754578754e-13   7.7402224134784102e+07    
-2.3542857142857139e-13   7.5864000106844902e+07    
-2.3531135531135529e-13   7.6128988198039651e+07    
-2.3519413919413920e-13   7.8101302933901086e+07    
-2.3507692307692305e-13   8.0840744933673009e+07    
-2.3495970695970695e-13   8.2998273191918373e+07    
-2.3484249084249081e-13   8.3472970307452783e+07    
-2.3472527472527471e-13   8.1975869565736085e+07    
-2.3460805860805861e-13   7.9208468169853508e+07    
-2.3449084249084246e-13   7.6540929931320280e+07    
-2.3437362637362637e-13   7.5330425818746746e+07    
-2.3425641025641022e-13   7.6220621332243279e+07    
-2.3413919413919412e-13   7.8791089862467289e+07    
-2.3402197802197802e-13   8.1752271617555991e+07    
-2.3390476190476188e-13   8.3595490029102534e+07    
-2.3378754578754578e-13   8.3365433323776767e+07    
-2.3367032967032968e-13   8.1156407976908624e+07    
-2.3355311355311354e-13   7.8075048854472414e+07    
-2.3343589743589744e-13   7.5683447713238478e+07    
-2.3331868131868129e-13   7.5201446568750411e+07    
-2.3320146520146519e-13   7.6875708022210628e+07    
-2.3308424908424910e-13   7.9847015369933844e+07    
-2.3296703296703295e-13   8.2592991193173021e+07    
-2.3284981684981685e-13   8.3717017467790931e+07    
-2.3273260073260070e-13   8.2665435521089986e+07    
-2.3261538461538461e-13   7.9996426504814878e+07    
-2.3249816849816851e-13   7.7071804745999083e+07    
-2.3238095238095236e-13   7.5350719155758798e+07    
-2.3226373626373626e-13   7.5659647957607999e+07    
-2.3214652014652012e-13   7.7802939642357454e+07    
-2.3202930402930402e-13   8.0688560186542749e+07    
-2.3191208791208792e-13   8.2885199835843176e+07    
-2.3179487179487178e-13   8.3326246002478406e+07    
-2.3167765567765568e-13   8.1819073604276881e+07    
-2.3156043956043953e-13   7.9121533176255062e+07    
-2.3144322344322343e-13   7.6559001291915208e+07    
-2.3132600732600734e-13   7.5375204435984835e+07    
-2.3120879120879119e-13   7.6133499946537808e+07    
-2.3109157509157509e-13   7.8453611741850391e+07    
-2.3097435897435894e-13   8.1201722721304268e+07    
-2.3085714285714285e-13   8.3036215617420480e+07    
-2.3073992673992675e-13   8.3050485697315082e+07    
-2.3062271062271060e-13   8.1214489852511138e+07    
-2.3050549450549451e-13   7.8406456937147975e+07    
-2.3038827838827836e-13   7.6006673546941236e+07    
-2.3027106227106226e-13   7.5228093086030468e+07    
-2.3015384615384616e-13   7.6499012854253247e+07    
-2.3003663003663002e-13   7.9214305116974428e+07    
-2.2991941391941392e-13   8.2008465195780367e+07    
-2.2980219780219777e-13   8.3439068881466657e+07    
-2.2968498168498167e-13   8.2739607625361279e+07    
-2.2956776556776558e-13   8.0241744573966056e+07    
-2.2945054945054943e-13   7.7226510060455352e+07    
-2.2933333333333333e-13   7.5264841941241384e+07    
-2.2921611721611718e-13   7.5388219855883971e+07    
-2.2909890109890109e-13   7.7533257837626830e+07    
-2.2898168498168499e-13   8.0566509292587519e+07    
-2.2886446886446884e-13   8.2885421088900894e+07    
-2.2874725274725275e-13   8.3275299599267974e+07    
-2.2863003663003660e-13   8.1556847433309779e+07    
-2.2851282051282050e-13   7.8670537126560181e+07    
-2.2839560439560440e-13   7.6155065211392567e+07    
-2.2827838827838826e-13   7.5313078677762792e+07    
-2.2816117216117216e-13   7.6525967560176447e+07    
-2.2804395604395601e-13   7.9085149973346472e+07    
-2.2792673992673991e-13   8.1610092957086116e+07    
-2.2780952380952382e-13   8.2800908229462460e+07    
-2.2769230769230767e-13   8.2108574684803545e+07    
-2.2757509157509157e-13   7.9977421557118118e+07    
-2.2745787545787542e-13   7.7562282339004293e+07    
-2.2734065934065933e-13   7.6099553385137513e+07    
-2.2722344322344321e-13   7.6274158902865201e+07    
-2.2710622710622708e-13   7.7903782754938334e+07    
-2.2698901098901099e-13   8.0082284087911725e+07    
-2.2687179487179486e-13   8.1682911709692940e+07    
-2.2675457875457874e-13   8.1942169717923701e+07    
-2.2663736263736262e-13   8.0819051813362837e+07    
