#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         2.82066         
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.5238269454049135e+15    3.5166995333025485e+18    
1.5369105004549590e+15    3.0948726244242048e+18    
1.5499940555050045e+15    2.5959422249649802e+18    
1.5630776105550500e+15    2.0698736067586839e+18    
1.5761611656050955e+15    1.5738767124052270e+18    
1.5892447206551410e+15    1.1639369337192172e+18    
1.6023282757051865e+15    8.8770316506936115e+17    
1.6154118307552320e+15    7.7947719037856934e+17    
1.6284953858052775e+15    8.5718384765498726e+17    
1.6415789408553230e+15    1.1209155107854346e+18    
1.6546624959053685e+15    1.5528640770054449e+18    
1.6677460509554140e+15    2.1187596902737792e+18    
1.6808296060054595e+15    2.7709386070507730e+18    
1.6939131610555050e+15    3.4528167025345311e+18    
1.7069967161055505e+15    4.1041605516824003e+18    
1.7200802711555960e+15    4.6665159159812465e+18    
1.7331638262056415e+15    5.0885877478431212e+18    
1.7462473812556870e+15    5.3319436377308283e+18    
1.7593309363057325e+15    5.3775440767454679e+18    
1.7724144913557780e+15    5.2328514875504118e+18    
1.7854980464058235e+15    4.9377432754180086e+18    
1.7985816014558690e+15    4.5659242089616799e+18    
1.8116651565059145e+15    4.2181233996983675e+18    
1.8247487115559600e+15    4.0049512614282281e+18    
1.8378322666060055e+15    4.0209002550168177e+18    
1.8509158216560510e+15    4.3154736427980851e+18    
1.8639993767060965e+15    4.8708352641438249e+18    
1.8770829317561420e+15    5.5956514886791660e+18    
1.8901664868061875e+15    6.3409061562065183e+18    
1.9032500418562330e+15    6.9361411096940646e+18    
1.9163335969062785e+15    7.2363675393354486e+18    
1.9294171519563240e+15    7.1643166058789632e+18    
1.9425007070063695e+15    6.7326801078830623e+18    
1.9555842620564150e+15    6.0373471975330365e+18    
1.9686678171064605e+15    5.2233340211731804e+18    
1.9817513721565060e+15    4.4358378213365053e+18    
1.9948349272065515e+15    3.7748925730643471e+18    
2.0079184822565970e+15    3.2705373906039245e+18    
2.0210020373066425e+15    2.8866842582910981e+18    
2.0340855923566880e+15    2.5497902252771651e+18    
2.0471691474067335e+15    2.1884341924997880e+18    
2.0602527024567790e+15    1.7664140622118761e+18    
2.0733362575068245e+15    1.2963021139628444e+18    
2.0864198125568700e+15    8.3008421799024371e+17    
2.0995033676069155e+15    4.3373409686142938e+17    
2.1125869226569610e+15    1.5862611393763104e+17    
2.1256704777070065e+15    2.2276824891675308e+16    
2.1387540327570520e+15    5.0455319183647440e+15    
2.1518375878070975e+15    6.1572444682921728e+16    
2.1649211428571430e+15    1.3976890135361288e+17    
2.1780046979071885e+15    1.9844679561536064e+17    
2.1910882529572340e+15    2.1712360204011882e+17    
2.2041718080072795e+15    1.9618074502989622e+17    
2.2172553630573248e+15    1.4983429307549949e+17    
2.2303389181073702e+15    9.6527785886875824e+16    
2.2434224731574158e+15    5.1032962021718064e+16    
2.2565060282074610e+15    2.0597267878360752e+16    
2.2695895832575070e+15    5.2035880037001440e+15    
2.2826731383075520e+15    4.1986375289516950e+14    
2.2957566933575980e+15    8.1115944461081688e+14    
2.3088402484076430e+15    2.3278082447450620e+15    
2.3219238034576890e+15    3.0533363242388075e+15    
2.3350073585077340e+15    2.6934559643056205e+15    
2.3480909135577800e+15    1.7446113164773602e+15    
2.3611744686078250e+15    1.1213624721215915e+15    
2.3742580236578710e+15    2.2765001035526540e+15    
2.3873415787079165e+15    7.1091914644901650e+15    
2.4004251337579620e+15    1.6941862148741520e+16    
2.4135086888080075e+15    3.0769586322348396e+16    
2.4265922438580530e+15    4.4171149025072056e+16    
2.4396757989080985e+15    5.0528301937541040e+16    
2.4527593539581440e+15    4.4850739306120544e+16    
2.4658429090081895e+15    2.8227052932830916e+16    
2.4789264640582350e+15    9.5161841604392140e+15    
2.4920100191082805e+15    1.9146571807000852e+15    
2.5050935741583260e+15    1.5323687567586408e+16    
2.5181771292083715e+15    4.8881020971694944e+16    
2.5312606842584170e+15    8.8948256421716000e+16    
2.5443442393084625e+15    1.1510409142906928e+17    
2.5574277943585080e+15    1.1170592076592342e+17    
2.5705113494085535e+15    7.8475545100051760e+16    
2.5835949044585990e+15    3.3102406376909240e+16    
2.5966784595086445e+15    2.7501337419839765e+15    
2.6097620145586900e+15    7.9179720681475060e+15    
2.6228455696087350e+15    4.7950302294878056e+16    
2.6359291246587805e+15    9.8638604340334704e+16    
2.6490126797088260e+15    1.2626870443632803e+17    
2.6620962347588715e+15    1.1093273396848186e+17    
2.6751797898089170e+15    6.2559394706688728e+16    
2.6882633448589625e+15    1.5328031112256700e+16    
2.7013468999090080e+15    1.9675090470296192e+15    
2.7144304549590535e+15    2.7650218483437528e+16    
2.7275140100090990e+15    6.6252957780785760e+16    
2.7405975650591445e+15    8.3358340025757504e+16    
2.7536811201091900e+15    6.5675448002444512e+16    
2.7667646751592355e+15    3.0067481358261124e+16    
2.7798482302092810e+15    5.1305468324953950e+15    
2.7929317852593265e+15    4.8128973842509170e+15    
2.8060153403093720e+15    1.9451397166999088e+16    
2.8190988953594175e+15    2.9687485204010396e+16    
2.8321824504094630e+15    2.5806898442397700e+16    
2.8452660054595085e+15    1.3270351672039856e+16    
2.8583495605095540e+15    3.0437485249353510e+15    
