#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.501831        
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.1080300000000000e+14    8.6375962545953516e+13    
1.2388655505004550e+14    2.8524103373989462e+14    
1.3697011010009100e+14    8.0763477275581875e+14    
1.5005366515013650e+14    2.0532028607504492e+15    
1.6313722020018200e+14    4.8080873546714610e+15    
1.7622077525022750e+14    1.0533715883542072e+16    
1.8930433030027297e+14    2.1811060547397948e+16    
2.0238788535031847e+14    4.2996553045159992e+16    
2.1547144040036397e+14    8.1195474246980848e+16    
2.2855499545040947e+14    1.4786076048245238e+17    
2.4163855050045497e+14    2.6198491354022189e+17    
2.5472210555050047e+14    4.5762338704336243e+17    
2.6780566060054594e+14    8.0246470037905178e+17    
2.8088921565059144e+14    1.4415647927634181e+18    
2.9397277070063694e+14    2.6911830314068301e+18    
3.0705632575068244e+14    5.2177562863387679e+18    
3.2013988080072794e+14    1.0334433861644315e+19    
3.3322343585077344e+14    2.0411506508236374e+19    
3.4630699090081894e+14    3.9306542731581555e+19    
3.5939054595086444e+14    7.2577223243506000e+19    
3.7247410100090994e+14    1.2710123267443709e+20    
3.8555765605095538e+14    2.0971583475291272e+20    
3.9864121110100094e+14    3.2474717215365195e+20    
4.1172476615104644e+14    4.7086968711084409e+20    
4.2480832120109188e+14    6.3843503129251611e+20    
4.3789187625113738e+14    8.0881299241493555e+20    
4.5097543130118288e+14    9.5693854812219428e+20    
4.6405898635122838e+14    1.0570380511569717e+21    
4.7714254140127388e+14    1.0898832357118348e+21    
4.9022609645131938e+14    1.0488091800526079e+21    
5.0330965150136488e+14    9.4192746757744008e+20    
5.1639320655141038e+14    7.8953514149852217e+20    
5.2947676160145588e+14    6.1785310005807219e+20    
5.4256031665150138e+14    4.5173544644842029e+20    
5.5564387170154688e+14    3.0909833711066527e+20    
5.6872742675159238e+14    1.9863570090580253e+20    
5.8181098180163788e+14    1.2074428083521864e+20    
5.9489453685168338e+14    7.0384866828744966e+19    
6.0797809190172888e+14    4.0305978210246369e+19    
6.2106164695177438e+14    2.3502739965644997e+19    
6.3414520200181988e+14    1.4506294662174564e+19    
6.4722875705186525e+14    9.6724913832182579e+18    
6.6031231210191075e+14    6.8861474409486520e+18    
6.7339586715195625e+14    5.0715986400702740e+18    
6.8647942220200188e+14    3.7497611770826245e+18    
6.9956297725204738e+14    2.7316122986504166e+18    
7.1264653230209288e+14    1.9442947113231373e+18    
7.2573008735213838e+14    1.3499197395781087e+18    
7.3881364240218375e+14    9.1623039365822797e+17    
7.5189719745222925e+14    6.1063682012796838e+17    
7.6498075250227475e+14    4.0197263460869555e+17    
7.7806430755232025e+14    2.6313094654727786e+17    
7.9114786260236575e+14    1.7247077901252659e+17    
8.0423141765241125e+14    1.1389974628048936e+17    
8.1731497270245675e+14    7.6133201448542672e+16    
8.3039852775250225e+14    5.1631866094086104e+16    
8.4348208280254775e+14    3.5550162337055968e+16    
8.5656563785259325e+14    2.4859079803409612e+16    
8.6964919290263875e+14    1.7690960693323360e+16    
8.8273274795268425e+14    1.2889575432390014e+16    
8.9581630300272975e+14    9.7226902936056260e+15    
9.0889985805277525e+14    7.7105790797996590e+15    
9.2198341310282075e+14    6.5309558326919570e+15    
9.3506696815286625e+14    5.9712550795793740e+15    
9.4815052320291175e+14    5.9091442779034170e+15    
9.6123407825295725e+14    6.3100021567488460e+15    
9.7431763330300275e+14    7.2355415427692290e+15    
9.8740118835304825e+14    8.8611273183058340e+15    
1.0004847434030938e+15    1.1501171682865258e+16    
1.0135682984531392e+15    1.5642801813906574e+16    
1.0266518535031848e+15    2.1988240064425772e+16    
1.0397354085532302e+15    3.1506413069087364e+16    
1.0528189636032758e+15    4.5494612573851448e+16    
