#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         0.214789        
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      E               
#ylabel:                       E               
#yscale:                       6.13698e+09     
#yscale_str:                   $E_{0}$         
#yunit_str:                    V/m             
-2.3999999999999999e-13   -3.9935009875464398e+03   
-2.3988278388278389e-13   -3.5282568749315628e+03   
-2.3976556776556774e-13   -3.0625604932234805e+03   
-2.3964835164835165e-13   -2.5964703703370342e+03   
-2.3953113553113550e-13   -2.1300448313897282e+03   
-2.3941391941391940e-13   -1.6633435008436427e+03   
-2.3929670329670330e-13   -1.1964263293644892e+03   
-2.3917948717948716e-13   -7.2935181828414625e+02   
-2.3906227106227106e-13   -2.6217830120621852e+02   
-2.3894505494505491e-13   2.0503409703405120e+02    
-2.3882783882783881e-13   6.7222506104758202e+02    
-2.3871062271062272e-13   1.1393362342518426e+03    
-2.3859340659340657e-13   1.6063093995609577e+03    
-2.3847619047619047e-13   2.0730842682327111e+03    
-2.3835897435897432e-13   2.5396005388212975e+03    
-2.3824175824175823e-13   3.0058001708130632e+03    
-2.3812454212454213e-13   3.4716252180255337e+03    
-2.3800732600732598e-13   3.9370155671384905e+03    
-2.3789010989010989e-13   4.4019112116747792e+03    
-2.3777289377289374e-13   4.8662544949122785e+03    
-2.3765567765567764e-13   5.3299877770243866e+03    
-2.3753846153846154e-13   5.7930512884929503e+03    
-2.3742124542124540e-13   6.2553854519895294e+03    
-2.3730402930402930e-13   6.7169329155886817e+03    
-2.3718681318681315e-13   7.1776362643837920e+03    
-2.3706959706959705e-13   7.6374361539540751e+03    
-2.3695238095238096e-13   8.0962734985514280e+03    
-2.3683516483516481e-13   8.5540911613679273e+03    
-2.3671794871794871e-13   9.0108319156225443e+03    
-2.3660073260073256e-13   9.4664369728362744e+03    
-2.3648351648351647e-13   9.9208478696602051e+03    
-2.3636630036630037e-13   1.0374007727384782e+04    
-2.3624908424908422e-13   1.0825859604367201e+04    
-2.3613186813186813e-13   1.1276345516112131e+04    
-2.3601465201465198e-13   1.1725407853682087e+04    
-2.3589743589743588e-13   1.2172990128906233e+04    
-2.3578021978021978e-13   1.2619035877742879e+04    
-2.3566300366300364e-13   1.3063488193940191e+04    
-2.3554578754578754e-13   1.3506290525949969e+04    
-2.3542857142857139e-13   1.3947386897208398e+04    
-2.3531135531135529e-13   1.4386721489627018e+04    
-2.3519413919413920e-13   1.4824238668539820e+04    
-2.3507692307692305e-13   1.5259883029836879e+04    
-2.3495970695970695e-13   1.5693599166647733e+04    
-2.3484249084249081e-13   1.6125332029540532e+04    
