#legend:                       ArgonShock      
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         1.66277         
#title_str:                    z =             
#xcordID:                      T               
#xlabel:                       t               
#xscale:                       0               
#xscale_str:                   $t_{p}$         
#xunit_str:                    s               
#ycordID:                      E               
#ylabel:                       E               
#yscale:                       6.13698e+09     
#yscale_str:                   $E_{0}$         
#yunit_str:                    V/m             
-2.3999999999999999e-13   2.0386507905614283e+05    
-2.3988278388278389e-13   2.0583948320631566e+05    
-2.3976556776556774e-13   2.0978358189739261e+05    
-2.3964835164835165e-13   2.1374050253244027e+05    
-2.3953113553113550e-13   2.1575208098687540e+05    
-2.3941391941391940e-13   2.1485585335611826e+05    
-2.3929670329670330e-13   2.1155481301193382e+05    
-2.3917948717948716e-13   2.0752167156547686e+05    
-2.3906227106227106e-13   2.0471970953718806e+05    
-2.3894505494505491e-13   2.0442142639705172e+05    
-2.3882783882783881e-13   2.0662254948040179e+05    
-2.3871062271062272e-13   2.1010740647667239e+05    
-2.3859340659340657e-13   2.1308471691181662e+05    
-2.3847619047619047e-13   2.1405699715406555e+05    
-2.3835897435897432e-13   2.1251074141740327e+05    
-2.3824175824175823e-13   2.0912264040835490e+05    
-2.3812454212454213e-13   2.0540701166081775e+05    
-2.3800732600732598e-13   2.0298308260606127e+05    
-2.3789010989010989e-13   2.0281088460674268e+05    
-2.3777289377289374e-13   2.0475352630212158e+05    
-2.3765567765567764e-13   2.0766445080401798e+05    
-2.3753846153846154e-13   2.0994725168384254e+05    
-2.3742124542124540e-13   2.1031549762663033e+05    
-2.3730402930402930e-13   2.0839415180141109e+05    
-2.3718681318681315e-13   2.0488598513543702e+05    
-2.3706959706959705e-13   2.0123109923110780e+05    
-2.3695238095238096e-13   1.9892042990297140e+05    
-2.3683516483516481e-13   1.9878305545739990e+05    
-2.3671794871794871e-13   2.0058347388752215e+05    
-2.3660073260073256e-13   2.0312825038990896e+05    
-2.3648351648351647e-13   2.0484456757380327e+05    
-2.3636630036630037e-13   2.0455834767829761e+05    
-2.3624908424908422e-13   2.0208376465332875e+05    
-2.3613186813186813e-13   1.9831553622368231e+05    
-2.3601465201465198e-13   1.9476835781356247e+05    
-2.3589743589743588e-13   1.9280281599526224e+05    
-2.3578021978021978e-13   1.9294400114658411e+05    
-2.3566300366300364e-13   1.9464189470800554e+05    
-2.3554578754578754e-13   1.9658182056292376e+05    
-2.3542857142857139e-13   1.9736828024842459e+05    
-2.3531135531135529e-13   1.9622343485308957e+05    
-2.3519413919413920e-13   1.9334602324596612e+05    
-2.3507692307692305e-13   1.8976105107735237e+05    
-2.3495970695970695e-13   1.8676132446805143e+05    
-2.3484249084249081e-13   1.8525304395342126e+05    
-2.3472527472527471e-13   1.8534874954043370e+05    
-2.3460805860805861e-13   1.8638913124406923e+05    
-2.3449084249084246e-13   1.8733029951722475e+05    
-2.3437362637362637e-13   1.8725845220104163e+05    
-2.3425641025641022e-13   1.8577658132022951e+05    
-2.3413919413919412e-13   1.8311997913968901e+05    
-2.3402197802197802e-13   1.8000136859982443e+05    
-2.3390476190476188e-13   1.7728336002602481e+05    
-2.3378754578754578e-13   1.7561219094113461e+05    
-2.3367032967032968e-13   1.7514760501783522e+05    
-2.3355311355311354e-13   1.7549810972674546e+05    
-2.3343589743589744e-13   1.7590112822772484e+05    
-2.3331868131868129e-13   1.7557615087507086e+05    
-2.3320146520146519e-13   1.7408289473952577e+05    
-2.3308424908424910e-13   1.7150949271969686e+05    
-2.3296703296703295e-13   1.6841173047614022e+05    
-2.3284981684981685e-13   1.6555433677336201e+05    
-2.3273260073260070e-13   1.6358237545103149e+05    
-2.3261538461538461e-13   1.6275019863090108e+05    
-2.3249816849816851e-13   1.6279844177472423e+05    
-2.3238095238095236e-13   1.6303356794068156e+05    
-2.3226373626373626e-13   1.6261436541856301e+05    
-2.3214652014652012e-13   1.6095672509415145e+05    
-2.3202930402930402e-13   1.5806489490116414e+05    
-2.3191208791208792e-13   1.5458101526230259e+05    
-2.3179487179487178e-13   1.5147809149677464e+05    
-2.3167765567765568e-13   1.4954191022589782e+05    
-2.3156043956043953e-13   1.4893683330869614e+05    
-2.3144322344322343e-13   1.4911129834182595e+05    
-2.3132600732600734e-13   1.4909661107494813e+05    
-2.3120879120879119e-13   1.4802664421859142e+05    
-2.3109157509157509e-13   1.4559307755388241e+05    
-2.3097435897435894e-13   1.4219803390274444e+05    
-2.3085714285714285e-13   1.3873031966835944e+05    
-2.3073992673992675e-13   1.3608626909123201e+05    
-2.3062271062271060e-13   1.3469053706640177e+05    
-2.3050549450549451e-13   1.3427742044826521e+05    
-2.3038827838827836e-13   1.3405492303096302e+05    
-2.3027106227106226e-13   1.3315739195456999e+05    
-2.3015384615384616e-13   1.3112386947419477e+05    
-2.3003663003663002e-13   1.2812754428567870e+05    
-2.2991941391941392e-13   1.2483752407831216e+05    
-2.2980219780219777e-13   1.2201543656772924e+05    
-2.2968498168498167e-13   1.2009422791305458e+05    
-2.2956776556776558e-13   1.1897412902273929e+05    
-2.2945054945054943e-13   1.1812722994396296e+05    
-2.2933333333333333e-13   1.1692524398800873e+05    
-2.2921611721611718e-13   1.1499290858444906e+05    
-2.2909890109890109e-13   1.1239124297870643e+05    
-2.2898168498168499e-13   1.0954042594312807e+05    
-2.2886446886446884e-13   1.0694299709950374e+05    
-2.2874725274725275e-13   1.0488139760160849e+05    
-2.2863003663003660e-13   1.0327240782144516e+05    
-2.2851282051282050e-13   1.0175774699794552e+05    
-2.2839560439560440e-13   9.9959587295468067e+04    
-2.2827838827838826e-13   9.7728468156896342e+04    
-2.2816117216117216e-13   9.5223103838449664e+04    
-2.2804395604395601e-13   9.2777164334110232e+04    
-2.2792673992673991e-13   9.0651065768011191e+04    
-2.2780952380952382e-13   8.8842652703308398e+04    
-2.2769230769230767e-13   8.7088078788212762e+04    
-2.2757509157509157e-13   8.5051869343159109e+04    
-2.2745787545787542e-13   8.2574188958784332e+04    
-2.2734065934065933e-13   7.9803168191901161e+04    
-2.2722344322344321e-13   7.7116406604059404e+04    
-2.2710622710622708e-13   7.4876473326061008e+04    
-2.2698901098901099e-13   7.3178371055890020e+04    
-2.2687179487179486e-13   7.1758549093794762e+04    
-2.2675457875457874e-13   7.0134801389492670e+04    
-2.2663736263736262e-13   6.7897246885718298e+04    
-2.2652014652014650e-13   6.4970878031873610e+04    
-2.2640293040293040e-13   6.1685616266161822e+04    
-2.2628571428571428e-13   5.8606816222493711e+04    
-2.2616849816849815e-13   5.6219808721030837e+04    
-2.2605128205128203e-13   5.4644234295412149e+04    
-2.2593406593406591e-13   5.3539842495309815e+04    
-2.2581684981684981e-13   5.2267623339478778e+04    
-2.2569963369963369e-13   5.0233823865852573e+04    
-2.2558241758241757e-13   4.7233785107485040e+04    
-2.2546520146520145e-13   4.3593910992114957e+04    
-2.2534798534798532e-13   4.0013038929333845e+04    
-2.2523076923076923e-13   3.7181633966155263e+04    
-2.2511355311355310e-13   3.5396427588474842e+04    
-2.2499633699633698e-13   3.4392181552849957e+04    
-2.2487912087912086e-13   3.3480099521110562e+04    
-2.2476190476190474e-13   3.1908213548877764e+04    
-2.2464468864468864e-13   2.9250050163118980e+04    
-2.2452747252747252e-13   2.5627965300810214e+04    
-2.2441025641025640e-13   2.1664014424629415e+04    
-2.2429304029304027e-13   1.8177754561085374e+04    
-2.2417582417582415e-13   1.5771285897077787e+04    
-2.2405860805860805e-13   1.4507728745505245e+04    
-2.2394139194139193e-13   1.3856587465243292e+04    
-2.2382417582417581e-13   1.2947960224418595e+04    
-2.2370695970695969e-13   1.1012478020604645e+04    
-2.2358974358974359e-13   7.7812991355625118e+03    
-2.2347252747252747e-13   3.6400399321760337e+03    
-2.2335531135531134e-13   -5.4372730377196228e+02   
-2.2323809523809522e-13   -3.8396718259067443e+03   
-2.2312087912087910e-13   -5.7233725019535632e+03   
-2.2300366300366300e-13   -6.3684438422487328e+03   
-2.2288644688644688e-13   -6.6056436073911500e+03   
-2.2276923076923076e-13   -7.5395002141435762e+03   
-2.2265201465201464e-13   -9.9854406307898698e+03   
-2.2253479853479851e-13   -1.4007760563710881e+04   
-2.2241758241758242e-13   -1.8822470899669657e+04   
-2.2230036630036629e-13   -2.3158228752136045e+04   
-2.2218315018315017e-13   -2.5917776280096467e+04   
-2.2206593406593405e-13   -2.6793965879013202e+04   
-2.2194871794871793e-13   -2.6490774628818694e+04   
-2.2183150183150183e-13   -2.6398065250442338e+04   
-2.2171428571428571e-13   -2.7865944321626415e+04   
-2.2159706959706958e-13   -3.1457315166045817e+04   
-2.2147985347985346e-13   -3.6593354314518583e+04   
-2.2136263736263737e-13   -4.1813980235494317e+04   
-2.2124542124542124e-13   -4.5543940712078831e+04   
-2.2112820512820512e-13   -4.6961702002731407e+04   
-2.2101098901098900e-13   -4.6486344933838016e+04   
-2.2089377289377288e-13   -4.5590930504505748e+04   
-2.2077655677655678e-13   -4.6021574895400983e+04   
-2.2065934065934066e-13   -4.8840581998220543e+04   
-2.2054212454212453e-13   -5.3823037464457157e+04   
-2.2042490842490841e-13   -5.9551604112809422e+04   
-2.2030769230769229e-13   -6.4172437705252552e+04   
-2.2019047619047619e-13   -6.6405650587898461e+04   
-2.2007326007326007e-13   -6.6253465580546836e+04   
-2.1995604395604395e-13   -6.5008537579861484e+04   
-2.1983882783882783e-13   -6.4552132045822851e+04   
-2.1972161172161170e-13   -6.6330734491844953e+04   
-2.1960439560439561e-13   -7.0579386679346993e+04   
-2.1948717948717948e-13   -7.6214180631863361e+04   
-2.1936996336996336e-13   -8.1433727455119064e+04   
-2.1925274725274724e-13   -8.4680642085888438e+04   
-2.1913553113553112e-13   -8.5441568105040409e+04   
-2.1901831501831502e-13   -8.4483167659940285e+04   
-2.1890109890109890e-13   -8.3433763711485110e+04   
-2.1878388278388277e-13   -8.3945201522977048e+04   
-2.1866666666666665e-13   -8.6857793955245099e+04   
-2.1854945054945053e-13   -9.1778262820234508e+04   
-2.1843223443223443e-13   -9.7280826242461684e+04   
-2.1831501831501831e-13   -1.0163615622347787e+05   
-2.1819780219780219e-13   -1.0369985497335423e+05   
-2.1808058608058607e-13   -1.0349926930746301e+05   
