#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         2.5741          
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.1080300000000000e+14    3.8132381224871640e+15    
1.2388655505004550e+14    3.6895015984466475e+15    
1.3697011010009100e+14    2.5448640809371265e+15    
1.5005366515013650e+14    1.3396567281131642e+15    
1.6313722020018200e+14    5.1123061401687760e+15    
1.7622077525022750e+14    2.8648069892642836e+16    
1.8930433030027297e+14    1.0661452857454427e+17    
2.0238788535031847e+14    3.0987227403294611e+17    
2.1547144040036397e+14    7.6923141480647552e+17    
2.2855499545040947e+14    1.7065487285725770e+18    
2.4163855050045497e+14    3.4704706892030863e+18    
2.5472210555050047e+14    6.5705383160538747e+18    
2.6780566060054594e+14    1.1700052245822919e+19    
2.8088921565059144e+14    1.9737786621142295e+19    
2.9397277070063694e+14    3.1724936856619110e+19    
3.0705632575068244e+14    4.8828326839989567e+19    
3.2013988080072794e+14    7.2318757491105407e+19    
3.3322343585077344e+14    1.0359804154792521e+20    
3.4630699090081894e+14    1.4427520616081705e+20    
3.5939054595086444e+14    1.9620703768300326e+20    
3.7247410100090994e+14    2.6130677981442068e+20    
3.8555765605095538e+14    3.4087448723597990e+20    
3.9864121110100094e+14    4.3433312266578860e+20    
4.1172476615104644e+14    5.3762299840354556e+20    
4.2480832120109188e+14    6.4199133444675089e+20    
4.3789187625113738e+14    7.3418887583761302e+20    
4.5097543130118288e+14    7.9879256346403314e+20    
4.6405898635122838e+14    8.2242788978884005e+20    
4.7714254140127388e+14    7.9847137883996907e+20    
4.9022609645131938e+14    7.3012700957056369e+20    
5.0330965150136488e+14    6.3019390482293509e+20    
5.1639320655141038e+14    5.1731518459455321e+20    
5.2947676160145588e+14    4.1022130796067337e+20    
5.4256031665150138e+14    3.2242570476039399e+20    
5.5564387170154688e+14    2.5945326302503086e+20    
5.6872742675159238e+14    2.1928910265380317e+20    
5.8181098180163788e+14    1.9521306645671759e+20    
5.9489453685168338e+14    1.7936087297449601e+20    
6.0797809190172888e+14    1.6549281398328561e+20    
6.2106164695177438e+14    1.5023085138491671e+20    
6.3414520200181988e+14    1.3287634803949086e+20    
6.4722875705186525e+14    1.1442344954632169e+20    
6.6031231210191075e+14    9.6440689303906009e+19    
6.7339586715195625e+14    8.0259227183102738e+19    
6.8647942220200188e+14    6.6603752989256868e+19    
6.9956297725204738e+14    5.5585540095890145e+19    
7.1264653230209288e+14    4.6891595741256671e+19    
7.2573008735213838e+14    4.0018208044482339e+19    
7.3881364240218375e+14    3.4456361687965315e+19    
7.5189719745222925e+14    2.9796724815161557e+19    
7.6498075250227475e+14    2.5762143079978004e+19    
7.7806430755232025e+14    2.2193006642535657e+19    
7.9114786260236575e+14    1.9011868025553019e+19    
8.0423141765241125e+14    1.6186508321956688e+19    
8.1731497270245675e+14    1.3701634357312713e+19    
8.3039852775250225e+14    1.1542057824455283e+19    
8.4348208280254775e+14    9.6857563774323610e+18    
8.5656563785259325e+14    8.1034284633305928e+18    
8.6964919290263875e+14    6.7611963485042555e+18    
8.8273274795268425e+14    5.6240729347503094e+18    
8.9581630300272975e+14    4.6589631212061379e+18    
9.0889985805277525e+14    3.8368800783661809e+18    
9.2198341310282075e+14    3.1345456654243712e+18    
9.3506696815286625e+14    2.5356347288600284e+18    
9.4815052320291175e+14    2.0317510610363661e+18    
9.6123407825295725e+14    1.6229614339845202e+18    
9.7431763330300275e+14    1.3175159530785280e+18    
9.8740118835304825e+14    1.1303467180325806e+18    
1.0004847434030938e+15    1.0800933825414035e+18    
1.0135682984531392e+15    1.1847204071827052e+18    
1.0266518535031848e+15    1.4561852347864896e+18    
1.0397354085532302e+15    1.8949829251913121e+18    
1.0528189636032758e+15    2.4856260327406848e+18    
1.0659025186533212e+15    3.1941399891181757e+18    
1.0789860737033668e+15    3.9684315197215375e+18    
1.0920696287534122e+15    4.7419434196461660e+18    
1.1051531838034578e+15    5.4404192506405018e+18    
1.1182367388535032e+15    5.9909791361801124e+18    
1.1313202939035488e+15    6.3321786990968760e+18    
1.1444038489535942e+15    6.4233987634136934e+18    
