#legend:                       ArgonShock      
#logy:                         logy            
#plabel:                       z               
#pscale:                       1.31262         
#pscale_str:                   $L_{NL}$        
#punit_str:                    m               
#pval:                         2.16429         
#title_str:                    z =             
#xcordID:                      ST              
#xlabel:                       $\omega$        
#xunit_str:                    $s^{-1}$        
#ycordID:                      AU              
#ylabel:                       I               
#yscale_str:                   arb.            
#yunit_str:                    arb.            
1.1080300000000000e+14    1.7515146439665622e+15    
1.2388655505004550e+14    1.8680209747200352e+15    
1.3697011010009100e+14    2.4793932542386260e+15    
1.5005366515013650e+14    5.5615032753334370e+15    
1.6313722020018200e+14    1.6654891247322194e+16    
1.7622077525022750e+14    4.8932601815469848e+16    
1.8930433030027297e+14    1.3026947202348035e+17    
2.0238788535031847e+14    3.1447209421532755e+17    
2.1547144040036397e+14    6.9760765622590746e+17    
2.2855499545040947e+14    1.4395949732732052e+18    
2.4163855050045497e+14    2.7897752327803443e+18    
2.5472210555050047e+14    5.1133543808358380e+18    
2.6780566060054594e+14    8.9145174563910820e+18    
2.8088921565059144e+14    1.4853793493025690e+19    
2.9397277070063694e+14    2.3764281523834515e+19    
3.0705632575068244e+14    3.6683596445784441e+19    
3.2013988080072794e+14    5.4928921372259754e+19    
3.3322343585077344e+14    8.0234247012788650e+19    
3.4630699090081894e+14    1.1491913241911960e+20    
3.5939054595086444e+14    1.6195832960159377e+20    
3.7247410100090994e+14    2.2470663402302043e+20    
3.8555765605095538e+14    3.0599986279788000e+20    
3.9864121110100094e+14    4.0652496278636383e+20    
4.1172476615104644e+14    5.2278006794538569e+20    
4.2480832120109188e+14    6.4548623977841322e+20    
4.3789187625113738e+14    7.5961303449057493e+20    
4.5097543130118288e+14    8.4685611806990808e+20    
4.6405898635122838e+14    8.9036803477741004e+20    
4.7714254140127388e+14    8.8022295102464695e+20    
4.9022609645131938e+14    8.1729752549957396e+20    
5.0330965150136488e+14    7.1363050651475247e+20    
5.1639320655141038e+14    5.8885121627638661e+20    
5.2947676160145588e+14    4.6412852238040734e+20    
5.4256031665150138e+14    3.5620164723291003e+20    
5.5564387170154688e+14    2.7379929397857121e+20    
5.6872742675159238e+14    2.1739037298904950e+20    
5.8181098180163788e+14    1.8162001457425724e+20    
5.9489453685168338e+14    1.5883334503194847e+20    
6.0797809190172888e+14    1.4210247882532948e+20    
6.2106164695177438e+14    1.2687394892855566e+20    
6.3414520200181988e+14    1.1119456152606320e+20    
6.4722875705186525e+14    9.5020412658395890e+19    
6.6031231210191075e+14    7.9238730976404652e+19    
6.7339586715195625e+14    6.4857815981646414e+19    
6.8647942220200188e+14    5.2551950335980708e+19    
6.9956297725204738e+14    4.2537516379537785e+19    
7.1264653230209288e+14    3.4657417284120596e+19    
7.2573008735213838e+14    2.8544281694120731e+19    
7.3881364240218375e+14    2.3773364312064135e+19    
7.5189719745222925e+14    1.9964574433122447e+19    
7.6498075250227475e+14    1.6829020396220934e+19    
7.7806430755232025e+14    1.4173962265847667e+19    
7.9114786260236575e+14    1.1884767787522787e+19    
8.0423141765241125e+14    9.8993836224798269e+18    
8.1731497270245675e+14    8.1850320441220014e+18    
8.3039852775250225e+14    6.7213960934745846e+18    
8.4348208280254775e+14    5.4907701921046589e+18    
8.5656563785259325e+14    4.4736826724703447e+18    
8.6964919290263875e+14    3.6479319968644388e+18    
8.8273274795268425e+14    2.9892555146009001e+18    
8.9581630300272975e+14    2.4724698201916319e+18    
9.0889985805277525e+14    2.0725428931487544e+18    
9.2198341310282075e+14    1.7655002069684810e+18    
9.3506696815286625e+14    1.5292799374379638e+18    
9.4815052320291175e+14    1.3446704795121626e+18    
9.6123407825295725e+14    1.1963614011355825e+18    
9.7431763330300275e+14    1.0739981002332932e+18    
9.8740118835304825e+14    9.7301765364041421e+17    
1.0004847434030938e+15    8.9500000056404890e+17    
1.0135682984531392e+15    8.4730825778843930e+17    
1.0266518535031848e+15    8.4190385935378662e+17    
1.0397354085532302e+15    8.9337823486579085e+17    
1.0528189636032758e+15    1.0164061287647876e+18    
1.0659025186533212e+15    1.2229597699370299e+18    
1.0789860737033668e+15    1.5196997393995246e+18    
1.0920696287534122e+15    1.9059624732210232e+18    
1.1051531838034578e+15    2.3726961615572598e+18    
1.1182367388535032e+15    2.9025689671616727e+18    
1.1313202939035488e+15    3.4713059993671741e+18    
1.1444038489535942e+15    4.0501259107838976e+18    
1.1574874040036398e+15    4.6089641018499891e+18    
1.1705709590536850e+15    5.1200068465255117e+18    
1.1836545141037305e+15    5.5609437816127242e+18    
1.1967380691537760e+15    5.9173082833327340e+18    
1.2098216242038215e+15    6.1833567351816571e+18    
1.2229051792538670e+15    6.3611715229228257e+18    
1.2359887343039125e+15    6.4580572565838090e+18    
1.2490722893539582e+15    6.4827770064021801e+18    
1.2621558444040038e+15    6.4416170046583716e+18    
1.2752393994540492e+15    6.3355026703352166e+18    
1.2883229545040948e+15    6.1592606152940657e+18    
1.3014065095541402e+15    5.9035727197606513e+18    
1.3144900646041858e+15    5.5593039572562309e+18    
1.3275736196542312e+15    5.1229771699376712e+18    
1.3406571747042768e+15    4.6015730288541066e+18    
1.3537407297543222e+15    4.0148537657799511e+18    
1.3668242848043675e+15    3.3941280800009098e+18    
1.3799078398544130e+15    2.7775796623707044e+18    
1.3929913949044585e+15    2.2035182813492001e+18    
1.4060749499545040e+15    1.7036585334919419e+18    
1.4191585050045495e+15    1.2984537190284255e+18    
1.4322420600545950e+15    9.9563253476505139e+17    
1.4453256151046405e+15    7.9179919816199936e+17    
1.4584091701546860e+15    6.7584848939683443e+17    
1.4714927252047315e+15    6.3251064114126592e+17    
1.4845762802547770e+15    6.4472597442844262e+17    
1.4976598353048225e+15    6.9449353750993446e+17    
1.5107433903548680e+15    7.6281268509703309e+17    
1.5238269454049135e+15    8.2983098193117696e+17    
1.5369105004549590e+15    8.7610480510417664e+17    
1.5499940555050045e+15    8.8513713396933683e+17    
1.5630776105550500e+15    8.4652224466770982e+17    
1.5761611656050955e+15    7.5855805185012250e+17    
1.5892447206551410e+15    6.2931076199337715e+17    
1.6023282757051865e+15    4.7572687638426074e+17    
1.6154118307552320e+15    3.2113342372383360e+17    
1.6284953858052775e+15    1.9196744160387744e+17    
1.6415789408553230e+15    1.1462597268523130e+17    
1.6546624959053685e+15    1.1298719953981355e+17    
1.6677460509554140e+15    2.0667597504344067e+17    
1.6808296060054595e+15    4.0981552879340698e+17    
1.6939131610555050e+15    7.2997356986547610e+17    
1.7069967161055505e+15    1.1672305369670049e+18    
1.7200802711555960e+15    1.7135807957490010e+18    
1.7331638262056415e+15    2.3530151671886377e+18    
1.7462473812556870e+15    3.0625194940154988e+18    
1.7593309363057325e+15    3.8139085942560758e+18    
1.7724144913557780e+15    4.5760715714133376e+18    
1.7854980464058235e+15    5.3170279415650662e+18    
1.7985816014558690e+15    6.0053059982188329e+18    
